# Every codepoint the terminal face must carry, and why.
#
# A browser has no system font behind Skia and a FontFamily of loaded fonts resolves to exactly
# one typeface, so a codepoint terminalmono lacks is tofu that nothing can supply. This file is
# the list of codepoints that must never be tofu, and TerminalFontCoverageTest is what enforces it.
#
# Measured, probe #270. Union of three corpora:
#   * every pane of a live herdr, read over pane.read while agent harnesses were working in them
#     -- the only instrument that sees render-time chrome at all
#   * 163 Claude Code transcripts under ~/.claude/projects (490M characters)
#   * 14 codex sessions and 56 gemini sessions (118M characters)
#
# Kept: non-ASCII, exactly one column wide, and not a letter of a script. That is the class the
# face is built for. Script letters (CJK, Hangul, Devanagari) and two-column glyphs are out of
# scope by design and go down the fallback path probe #214 built for them.
#
# A harness BINARY is not a usable instrument and was rejected: its non-ASCII is dominated by
# embedded Unicode character-property tables (NKo, Syriac, Armenian) that never reach a screen.
#
# Regenerate the face with `python3 tools/terminalmono.py --write` after adding a row here.
#
# codepoint  character  name
U+00A0     NO-BREAK SPACE
U+2318  ⌘  PLACE OF INTEREST SIGN
U+2328  ⌨  KEYBOARD
U+23AF  ⎯  HORIZONTAL LINE EXTENSION
U+23BF  ⎿  DENTISTRY SYMBOL LIGHT VERTICAL AND BOTTOM RIGHT
U+23F1  ⏱  STOPWATCH
U+23F5  ⏵  BLACK MEDIUM RIGHT-POINTING TRIANGLE
U+23F8  ⏸  DOUBLE VERTICAL BAR
U+23F9  ⏹  BLACK SQUARE FOR STOP
U+241F  ␟  SYMBOL FOR UNIT SEPARATOR
U+2460  ①  CIRCLED DIGIT ONE
U+2461  ②  CIRCLED DIGIT TWO
U+2462  ③  CIRCLED DIGIT THREE
U+2463  ④  CIRCLED DIGIT FOUR
U+2464  ⑤  CIRCLED DIGIT FIVE
U+2465  ⑥  CIRCLED DIGIT SIX
U+2500  ─  BOX DRAWINGS LIGHT HORIZONTAL
U+2501  ━  BOX DRAWINGS HEAVY HORIZONTAL
U+2502  │  BOX DRAWINGS LIGHT VERTICAL
U+2503  ┃  BOX DRAWINGS HEAVY VERTICAL
U+250C  ┌  BOX DRAWINGS LIGHT DOWN AND RIGHT
U+2510  ┐  BOX DRAWINGS LIGHT DOWN AND LEFT
U+2514  └  BOX DRAWINGS LIGHT UP AND RIGHT
U+2518  ┘  BOX DRAWINGS LIGHT UP AND LEFT
U+251C  ├  BOX DRAWINGS LIGHT VERTICAL AND RIGHT
U+2524  ┤  BOX DRAWINGS LIGHT VERTICAL AND LEFT
U+252C  ┬  BOX DRAWINGS LIGHT DOWN AND HORIZONTAL
U+2534  ┴  BOX DRAWINGS LIGHT UP AND HORIZONTAL
U+253C  ┼  BOX DRAWINGS LIGHT VERTICAL AND HORIZONTAL
U+2550  ═  BOX DRAWINGS DOUBLE HORIZONTAL
U+2551  ║  BOX DRAWINGS DOUBLE VERTICAL
U+256D  ╭  BOX DRAWINGS LIGHT ARC DOWN AND RIGHT
U+256E  ╮  BOX DRAWINGS LIGHT ARC DOWN AND LEFT
U+256F  ╯  BOX DRAWINGS LIGHT ARC UP AND LEFT
U+2570  ╰  BOX DRAWINGS LIGHT ARC UP AND RIGHT
U+2580  ▀  UPPER HALF BLOCK
U+2584  ▄  LOWER HALF BLOCK
U+2588  █  FULL BLOCK
U+258A  ▊  LEFT THREE QUARTERS BLOCK
U+258E  ▎  LEFT ONE QUARTER BLOCK
U+2590  ▐  RIGHT HALF BLOCK
U+2591  ░  LIGHT SHADE
U+2593  ▓  DARK SHADE
U+2595  ▕  RIGHT ONE EIGHTH BLOCK
U+259B  ▛  QUADRANT UPPER LEFT AND UPPER RIGHT AND LOWER LEFT
U+259C  ▜  QUADRANT UPPER LEFT AND UPPER RIGHT AND LOWER RIGHT
U+259D  ▝  QUADRANT UPPER RIGHT
U+25B2  ▲  BLACK UP-POINTING TRIANGLE
U+25B6  ▶  BLACK RIGHT-POINTING TRIANGLE
U+25B8  ▸  BLACK RIGHT-POINTING SMALL TRIANGLE
U+25BC  ▼  BLACK DOWN-POINTING TRIANGLE
U+25C0  ◀  BLACK LEFT-POINTING TRIANGLE
U+25C6  ◆  BLACK DIAMOND
U+25C9  ◉  FISHEYE
U+25CB  ○  WHITE CIRCLE
U+25CF  ●  BLACK CIRCLE
U+25EF  ◯  LARGE CIRCLE
U+2605  ★  BLACK STAR
U+2699  ⚙  GEAR
U+26A0  ⚠  WARNING SIGN
U+2713  ✓  CHECK MARK
U+2714  ✔  HEAVY CHECK MARK
U+2715  ✕  MULTIPLICATION X
U+2717  ✗  BALLOT X
U+2718  ✘  HEAVY BALLOT X
U+2722  ✢  FOUR TEARDROP-SPOKED ASTERISK
U+2733  ✳  EIGHT SPOKED ASTERISK
U+2736  ✶  SIX POINTED BLACK STAR
U+273B  ✻  TEARDROP-SPOKED ASTERISK
U+273D  ✽  HEAVY TEARDROP-SPOKED ASTERISK
U+2764  ❤  HEAVY BLACK HEART
U+276F  ❯  HEAVY RIGHT-POINTING ANGLE QUOTATION MARK ORNAMENT
U+279C  ➜  HEAVY ROUND-TIPPED RIGHTWARDS ARROW
U+27A4  ➤  BLACK RIGHTWARDS ARROWHEAD
U+27E8  ⟨  MATHEMATICAL LEFT ANGLE BRACKET
U+27E9  ⟩  MATHEMATICAL RIGHT ANGLE BRACKET
U+27FA  ⟺  LONG LEFT RIGHT DOUBLE ARROW
U+2800  ⠀  BRAILLE PATTERN BLANK
U+280B  ⠋  BRAILLE PATTERN DOTS-124
U+2838  ⠸  BRAILLE PATTERN DOTS-456
U+287F  ⡿  BRAILLE PATTERN DOTS-1234567
U+28BF  ⢿  BRAILLE PATTERN DOTS-1234568
U+28DF  ⣟  BRAILLE PATTERN DOTS-1234578
U+28EF  ⣯  BRAILLE PATTERN DOTS-1234678
U+28F7  ⣷  BRAILLE PATTERN DOTS-1235678
U+28FB  ⣻  BRAILLE PATTERN DOTS-1245678
U+28FD  ⣽  BRAILLE PATTERN DOTS-1345678
U+28FE  ⣾  BRAILLE PATTERN DOTS-2345678
U+28FF  ⣿  BRAILLE PATTERN DOTS-12345678
U+29C9  ⧉  TWO JOINED SQUARES
U+FFFD  �  REPLACEMENT CHARACTER
U+1F5BC  🖼  FRAME WITH PICTURE
U+1F6E1  🛡  SHIELD
